slug,url
danielle-morris,https://signal.nfx.com/investors/danielle-morris
danielle-wang,https://signal.nfx.com/investors/danielle-wang
danielle-zhang,https://signal.nfx.com/investors/danielle-zhang
danish-chaudhry,https://signal.nfx.com/investors/danish-chaudhry
danny-rimer,https://signal.nfx.com/investors/danny-rimer
danny-slutsky,https://signal.nfx.com/investors/danny-slutsky
dante-venafro,https://signal.nfx.com/investors/dante-venafro
daphne-tong,https://signal.nfx.com/investors/daphne-tong
dapo-ogunfeitimi,https://signal.nfx.com/investors/dapo-ogunfeitimi
daquon-patterson,https://signal.nfx.com/investors/daquon-patterson
dara-li,https://signal.nfx.com/investors/dara-li
daren-singh_1,https://signal.nfx.com/investors/daren-singh_1
daria-filippova,https://signal.nfx.com/investors/daria-filippova
dario-di-lorenzo,https://signal.nfx.com/investors/dario-di-lorenzo
dario-fazlic,https://signal.nfx.com/investors/dario-fazlic
dario-meli,https://signal.nfx.com/investors/dario-meli
darius-johnson,https://signal.nfx.com/investors/darius-johnson
dariush-soudi,https://signal.nfx.com/investors/dariush-soudi
darren-abrahamson,https://signal.nfx.com/investors/darren-abrahamson
darren-appanah,https://signal.nfx.com/investors/darren-appanah
darren-pasco,https://signal.nfx.com/investors/darren-pasco
darren-shapland,https://signal.nfx.com/investors/darren-shapland
darryl-bandoro_1,https://signal.nfx.com/investors/darryl-bandoro_1
dasher-rattray,https://signal.nfx.com/investors/dasher-rattray
dave-clark,https://signal.nfx.com/investors/dave-clark
dave-desisto,https://signal.nfx.com/investors/dave-desisto
dave-insull,https://signal.nfx.com/investors/dave-insull
dave-mueller,https://signal.nfx.com/investors/dave-mueller
dave-munichiello,https://signal.nfx.com/investors/dave-munichiello
dave-nemetz,https://signal.nfx.com/investors/dave-nemetz
dave-tucker,https://signal.nfx.com/investors/dave-tucker
david-a-r-brebner,https://signal.nfx.com/investors/david-a-r-brebner
david-assia,https://signal.nfx.com/investors/david-assia
david-barber,https://signal.nfx.com/investors/david-barber
david-birch,https://signal.nfx.com/investors/david-birch
david-black,https://signal.nfx.com/investors/david-black
david-c-ball,https://signal.nfx.com/investors/david-c-ball
david-cheng_3,https://signal.nfx.com/investors/david-cheng_3
david-choi_2,https://signal.nfx.com/investors/david-choi_2
david-chreng-messembourg,https://signal.nfx.com/investors/david-chreng-messembourg
david-colton,https://signal.nfx.com/investors/david-colton
david-cynn,https://signal.nfx.com/investors/david-cynn
david-danon,https://signal.nfx.com/investors/david-danon
david-diaz-pagan,https://signal.nfx.com/investors/david-diaz-pagan
david-eidsaune,https://signal.nfx.com/investors/david-eidsaune
david-feldman_1,https://signal.nfx.com/investors/david-feldman_1
david-fetherstonhaugh,https://signal.nfx.com/investors/david-fetherstonhaugh
david-frankel,https://signal.nfx.com/investors/david-frankel
david-galante,https://signal.nfx.com/investors/david-galante
david-galbraith_1,https://signal.nfx.com/investors/david-galbraith_1
david-geisen,https://signal.nfx.com/investors/david-geisen
david-george,https://signal.nfx.com/investors/david-george
david-germain,https://signal.nfx.com/investors/david-germain
david-goldman_2,https://signal.nfx.com/investors/david-goldman_2
david-greenberg,https://signal.nfx.com/investors/david-greenberg
david-guzman,https://signal.nfx.com/investors/david-guzman
david-hall,https://signal.nfx.com/investors/david-hall
david-haswell,https://signal.nfx.com/investors/david-haswell
david-healey,https://signal.nfx.com/investors/david-healey
david-horowitz_1,https://signal.nfx.com/investors/david-horowitz_1
david-houghton,https://signal.nfx.com/investors/david-houghton
david-humphrey,https://signal.nfx.com/investors/david-humphrey
david-jegen_1,https://signal.nfx.com/investors/david-jegen_1
david-johnston,https://signal.nfx.com/investors/david-johnston
david-klein_1,https://signal.nfx.com/investors/david-klein_1
david-kokonas,https://signal.nfx.com/investors/david-kokonas
david-kwon,https://signal.nfx.com/investors/david-kwon
david-l-motley,https://signal.nfx.com/investors/david-l-motley
david-lam_3,https://signal.nfx.com/investors/david-lam_3
david-langer,https://signal.nfx.com/investors/david-langer
david-leray,https://signal.nfx.com/investors/david-leray
david-lofthouse,https://signal.nfx.com/investors/david-lofthouse
david-magerman,https://signal.nfx.com/investors/david-magerman
david-malloy,https://signal.nfx.com/investors/david-malloy
david-mandel,https://signal.nfx.com/investors/david-mandel
david-manjarres,https://signal.nfx.com/investors/david-manjarres
david-mathewson,https://signal.nfx.com/investors/david-mathewson
david-meister_1,https://signal.nfx.com/investors/david-meister_1
david-miles,https://signal.nfx.com/investors/david-miles
david-mort,https://signal.nfx.com/investors/david-mort
david-namdar,https://signal.nfx.com/investors/david-namdar
david-perkins_2,https://signal.nfx.com/investors/david-perkins_2
david-plisek,https://signal.nfx.com/investors/david-plisek
david-putnam,https://signal.nfx.com/investors/david-putnam
david-sargent,https://signal.nfx.com/investors/david-sargent
david-saunders,https://signal.nfx.com/investors/david-saunders
david-scalzo,https://signal.nfx.com/investors/david-scalzo
david-shannon,https://signal.nfx.com/investors/david-shannon
david-shaughnessy,https://signal.nfx.com/investors/david-shaughnessy
david-shin,https://signal.nfx.com/investors/david-shin
david-shriner,https://signal.nfx.com/investors/david-shriner
david-sica,https://signal.nfx.com/investors/david-sica
david-silverman,https://signal.nfx.com/investors/david-silverman
david-snider,https://signal.nfx.com/investors/david-snider
david-stark,https://signal.nfx.com/investors/david-stark
david-stirton,https://signal.nfx.com/investors/david-stirton
david-su,https://signal.nfx.com/investors/david-su
david-teten,https://signal.nfx.com/investors/david-teten
david-thevenon,https://signal.nfx.com/investors/david-thevenon
david-thompson_1,https://signal.nfx.com/investors/david-thompson_1
david-ticzon,https://signal.nfx.com/investors/david-ticzon
david-topper,https://signal.nfx.com/investors/david-topper
david-vanegmond,https://signal.nfx.com/investors/david-vanegmond
david-velez,https://signal.nfx.com/investors/david-velez
